olgnname,count,mean.control.log.signal,control.sd.log.signal
UniRef90_F5HIN0_oligopeptide_11,10,-4.697749,0.2559718
UniRef90_P03169_oligopeptide_1,6,-4.727852,0.2029645
UniRef90_Q79666_oligopeptide_33,2,-4.727852,0.2029645
UniRef90_P52442_oligopeptide_9,5,-4.554613,0.1822987
UniRef90_P08490_oligopeptide_2,7,-4.697749,0.2008433
UniRef90_P35767_oligopeptide_3,13,-4.727852,0.2029645
UniRef90_P0C6X7_oligopeptide_30,10,-4.60744,0.1886422
UniRef90_O12792_oligopeptide_4,13,-4.52451,0.1409113
UniRef90_P89475_oligopeptide_18,3,-4.650037,0.1895035
UniRef90_P36752_oligopeptide_12,1,-4.727852,0.2029645
UniRef90_Q05135_oligopeptide_16,7,-4.697749,0.2559718
UniRef90_Q9INI4_oligopeptide_20,12,-4.727852,0.2029645
UniRef90_P17370_oligopeptide_5,3,-4.650037,0.1915996
UniRef90_P27314_oligopeptide_66,12,-4.204782,0.1877379
UniRef90_Q84940_oligopeptide_16,4,-4.727852,0.2029645
UniRef90_P12576_oligopeptide_40,8,-4.650037,0.200962
UniRef90_P12449_oligopeptide_8,17,-4.559728,0.1976083
UniRef90_P03300_oligopeptide_69,19,-4.68014,0.2760596
UniRef90_P06489_oligopeptide_22,11,-4.727852,0.2029645
UniRef90_Q04544_oligopeptide_12,11,-4.727852,0.2029645
UniRef90_Q9WN78_oligopeptide_21,7,-4.637543,0.2154164
UniRef90_A2T3R5_oligopeptide_20,3,-4.727852,0.2029645
UniRef90_O89292_oligopeptide_14,3,-4.727852,0.2029645
UniRef90_Q02048_oligopeptide_9,3,-4.727852,0.2029645
UniRef90_P04616_oligopeptide_2,3,-4.667646,0.244867
UniRef90_Q88435_oligopeptide_14,14,-4.481913,0.1197336
UniRef90_Q69014_oligopeptide_37,14,-4.727852,0.2029645
UniRef90_Q914N3_oligopeptide_6,10,-4.727852,0.2029645
UniRef90_Q07847_oligopeptide_2,7,-4.60744,0.1684958
UniRef90_P06474_oligopeptide_7,6,-4.727852,0.2029645
UniRef90_P0DJV2_oligopeptide_5,6,-4.727852,0.2029645
UniRef90_Q02051_oligopeptide_17,6,-4.727852,0.2029645
UniRef90_Q80922_oligopeptide_14,6,-4.727852,0.2029645
UniRef90_P09256_oligopeptide_3,2,-4.727852,0.2029645
UniRef90_P0C6K4_oligopeptide_7,2,-4.727852,0.2029645
UniRef90_P33810_oligopeptide_7,2,-4.727852,0.2029645
UniRef90_Q80932_oligopeptide_16,2,-4.727852,0.2029645
UniRef90_O55777_oligopeptide_2,9,-4.697749,0.1887292
UniRef90_P52549_oligopeptide_11,3,-4.697749,0.2008433
UniRef90_Q9QF31_oligopeptide_21,15,-4.60744,0.2183347
UniRef90_P03303_oligopeptide_21,2,-4.697749,0.1947757
UniRef90_P05133_oligopeptide_5,9,-4.727852,0.2029645
UniRef90_Q66478_oligopeptide_31,9,-4.727852,0.2029645
UniRef90_P0C6X4_oligopeptide_160,5,-4.727852,0.2029645
UniRef90_P24443_oligopeptide_6,5,-4.727852,0.2029645
UniRef90_P0C760_oligopeptide_54,8,-4.48014,0.2657188
UniRef90_O89940_oligopeptide_37,9,-4.697749,0.1947757
UniRef90_P03120_oligopeptide_3,1,-4.727852,0.2029645
UniRef90_P03227_oligopeptide_27,1,-4.727852,0.2029645
UniRef90_P06440_oligopeptide_3,1,-4.727852,0.2029645
UniRef90_Q5EG65_oligopeptide_22,3,-4.68014,0.2018878
UniRef90_P16732_oligopeptide_12,13,-4.697749,0.1988447
UniRef90_Q01480_oligopeptide_4,7,-4.697749,0.2106478
UniRef90_P68694_oligopeptide_22,6,-4.559728,0.1556572
UniRef90_P08318_oligopeptide_29,5,-4.610243,0.2557099
UniRef90_P0C774_oligopeptide_9,5,-4.650037,0.2092262
UniRef90_Q67815_oligopeptide_27,10,-4.697749,0.2091122
UniRef90_P21698_oligopeptide_4,7,-4.68014,0.2337374
UniRef90_A2T3R5_oligopeptide_31,4,-4.727852,0.2029645
UniRef90_O12161_oligopeptide_3,4,-4.727852,0.2029645
UniRef90_P03303_oligopeptide_63,4,-4.727852,0.2029645
UniRef90_P06162_oligopeptide_12,4,-4.727852,0.2029645
UniRef90_P06463_oligopeptide_2,4,-4.727852,0.2029645
UniRef90_P0C6U2_oligopeptide_81,4,-4.727852,0.2029645
UniRef90_P54634_oligopeptide_27,13,-4.589831,0.1915153
UniRef90_P28857_oligopeptide_24,7,-4.650037,0.1989645
UniRef90_P59632_oligopeptide_7,11,-4.697749,0.1887292
UniRef90_P17240_oligopeptide_19,2,-4.489831,0.1801991
UniRef90_P23456_oligopeptide_73,8,-4.637543,0.1745146
UniRef90_P17887_oligopeptide_13,4,-4.602325,0.213898
UniRef90_P11193_oligopeptide_27,7,-4.697749,0.1887292
UniRef90_P09732_oligopeptide_101,11,-4.727852,0.2029645
UniRef90_P52363_oligopeptide_16,11,-4.727852,0.2029645
UniRef90_Q82054_oligopeptide_10,13,-4.68014,0.2018878
UniRef90_P09245_oligopeptide_14,4,-4.52451,0.1310007
UniRef90_P14353_oligopeptide_8,14,-4.68014,0.2107937
UniRef90_Q77Q36_oligopeptide_1,7,-4.727852,0.2029645
UniRef90_Q66431_oligopeptide_48,10,-4.68014,0.2107937
UniRef90_P07210_oligopeptide_9,5,-4.577337,0.3016352
UniRef90_P36844_oligopeptide_6,8,-4.589831,0.1902913
UniRef90_P03300_oligopeptide_64,3,-4.727852,0.2029645
UniRef90_P03421_oligopeptide_3,3,-4.727852,0.2029645
UniRef90_P17382_oligopeptide_14,3,-4.727852,0.2029645
UniRef90_P36783_oligopeptide_12,3,-4.727852,0.2029645
UniRef90_P52529_oligopeptide_12,3,-4.727852,0.2029645
UniRef90_P68324_oligopeptide_2,3,-4.727852,0.2029645
UniRef90_P03296_oligopeptide_7,17,-4.469419,0.1788707
UniRef90_P10220_oligopeptide_13,1,-4.650037,0.1895035
UniRef90_Q8V294_oligopeptide_83,9,-4.667646,0.2295963
UniRef90_P52342_oligopeptide_6,10,-4.697749,0.1887292
UniRef90_P03316_oligopeptide_7,1,-4.697749,0.2106478
UniRef90_P03186_oligopeptide_75,7,-4.572222,0.1803236
UniRef90_P68713_oligopeptide_1,10,-4.727852,0.2029645
UniRef90_Q9INJ1_oligopeptide_31,10,-4.727852,0.2029645
UniRef90_P36795_oligopeptide_1,3,-4.650037,0.2117638
UniRef90_P30003_oligopeptide_20,10,-4.697749,0.2554029
UniRef90_P03459_oligopeptide_4,6,-4.727852,0.2029645
UniRef90_P16781_oligopeptide_3,6,-4.727852,0.2029645
UniRef90_P21100_oligopeptide_6,6,-4.727852,0.2029645
UniRef90_P27907_oligopeptide_10,6,-4.727852,0.2029645
UniRef90_P59595_oligopeptide_3,6,-4.727852,0.2029645
UniRef90_Q45UG0_oligopeptide_36,6,-4.727852,0.2029645
UniRef90_Q66849_oligopeptide_9,3,-4.697749,0.1988447
UniRef90_P22420_oligopeptide_7,2,-4.727852,0.2029645
UniRef90_Q2HRB3_oligopeptide_7,2,-4.727852,0.2029645
UniRef90_Q68801_oligopeptide_45,2,-4.727852,0.2029645
UniRef90_Q79666_oligopeptide_46,2,-4.727852,0.2029645
UniRef90_Q82081_oligopeptide_22,2,-4.727852,0.2029645
UniRef90_P36811_oligopeptide_4,4,-4.697749,0.2106478
UniRef90_P09866_oligopeptide_8,16,-4.577337,0.1687084
UniRef90_Q77PU6_oligopeptide_14,4,-4.60744,0.2064561
UniRef90_A0A024B7W1_oligopeptide_72,8,-4.667646,0.2017508
UniRef90_P27401_oligopeptide_30,6,-4.697749,0.1947757
UniRef90_Q9WN78_oligopeptide_64,5,-4.60744,0.1476538
UniRef90_Q80915_oligopeptide_21,7,-4.45181,0.166339
UniRef90_P03540_oligopeptide_12,10,-4.697749,0.1988447
UniRef90_P52385_oligopeptide_6,8,-4.667646,0.2037209
UniRef90_P04495_oligopeptide_13,13,-4.619934,0.2253573
UniRef90_P25483_oligopeptide_4,15,-4.294407,0.2655388
UniRef90_P25483_oligopeptide_3,5,-4.572222,0.172829
UniRef90_P06491_oligopeptide_37,7,-4.667646,0.1961049
UniRef90_Q86197_oligopeptide_6,7,-4.637543,0.2175247
UniRef90_O89344_oligopeptide_80,9,-4.727852,0.2029645
UniRef90_P03214_oligopeptide_10,13,-4.632428,0.2330895
UniRef90_Q9WFZ0_oligopeptide_16,6,-4.697749,0.1988447
UniRef90_Q1PDC7_oligopeptide_23,7,-4.577337,0.2217088
UniRef90_P30928_oligopeptide_2,2,-4.650037,0.2141624
UniRef90_P20562_oligopeptide_2,7,-4.697749,0.2106478
UniRef90_P12978_oligopeptide_17,3,-4.667646,0.1961049
UniRef90_P03071_oligopeptide_7,5,-4.727852,0.2029645
UniRef90_P03378_oligopeptide_12,5,-4.727852,0.2029645
UniRef90_P08617_oligopeptide_68,5,-4.727852,0.2029645
UniRef90_P09256_oligopeptide_4,5,-4.727852,0.2029645
UniRef90_P12441_oligopeptide_7,5,-4.727852,0.2029645
UniRef90_P36785_oligopeptide_5,5,-4.727852,0.2029645
UniRef90_Q68801_oligopeptide_101,5,-4.727852,0.2029645
UniRef90_Q9DUC4_oligopeptide_12,5,-4.727852,0.2029645
UniRef90_Q9QF31_oligopeptide_71,5,-4.727852,0.2029645
UniRef90_P03210_oligopeptide_2,3,-4.697749,0.2091122
UniRef90_P36716_oligopeptide_6,5,-4.572222,0.1755045
UniRef90_P33493_oligopeptide_6,10,-4.650037,0.2196017
UniRef90_P17240_oligopeptide_14,9,-4.697749,0.1947757
UniRef90_P03188_oligopeptide_10,1,-4.727852,0.2029645
UniRef90_P0C214_oligopeptide_3,1,-4.727852,0.2029645
UniRef90_P14240_oligopeptide_25,1,-4.727852,0.2029645
UniRef90_P18047_oligopeptide_18,1,-4.727852,0.2029645
UniRef90_P24838_oligopeptide_16,1,-4.727852,0.2029645
UniRef90_P11818_oligopeptide_19,3,-4.619934,0.2142313
UniRef90_P16379_oligopeptide_51,10,-4.650037,0.2226281
UniRef90_Q5QGZ2_oligopeptide_6,13,-4.237881,0.2448415
UniRef90_P16800_oligopeptide_12,3,-4.667646,0.2001469
UniRef90_Q86195_oligopeptide_18,7,-4.484716,0.1888599
UniRef90_P11198_oligopeptide_20,2,-4.697749,0.2408012
UniRef90_Q32ZD5_oligopeptide_118,7,-4.619934,0.1834088
UniRef90_P26313_oligopeptide_14,4,-4.667646,0.2118775
UniRef90_Q00701_oligopeptide_11,9,-4.667646,0.1851173
UniRef90_P08490_oligopeptide_7,8,-4.60744,0.1886422
UniRef90_P21738_oligopeptide_9,12,-4.727852,0.2029645
UniRef90_P22055_oligopeptide_35,12,-4.727852,0.2029645
UniRef90_P27395_oligopeptide_46,7,-4.667646,0.2406905
UniRef90_O92530_oligopeptide_91,1,-4.667646,0.1809652
UniRef90_Q45UF8_oligopeptide_29,3,-4.68014,0.2107937
UniRef90_P09260_oligopeptide_23,8,-4.727852,0.2029645
UniRef90_P24937_oligopeptide_3,8,-4.727852,0.2029645
UniRef90_P36328_oligopeptide_74,8,-4.727852,0.2029645
UniRef90_P52468_oligopeptide_18,8,-4.727852,0.2029645
UniRef90_Q04966_oligopeptide_5,8,-4.727852,0.2029645
UniRef90_Q6WB95_oligopeptide_6,8,-4.727852,0.2029645
UniRef90_Q80932_oligopeptide_18,8,-4.727852,0.2029645
UniRef90_Q9QB97_oligopeptide_8,8,-4.727852,0.2029645
UniRef90_Q02480_oligopeptide_9,14,-4.559728,0.1555251
UniRef90_P09613_oligopeptide_17,12,-4.42451,0.2243373
UniRef90_P35961_oligopeptide_15,9,-4.637543,0.1767885
UniRef90_Q86194_oligopeptide_6,4,-4.697749,0.1887292
UniRef90_P03303_oligopeptide_32,5,-4.554613,0.2859638
UniRef90_P21404_oligopeptide_76,14,-4.597749,0.2421029
UniRef90_P08668_oligopeptide_15,4,-4.727852,0.2029645
UniRef90_P09731_oligopeptide_4,4,-4.727852,0.2029645
UniRef90_P0C6K4_oligopeptide_30,4,-4.727852,0.2029645
UniRef90_P14336_oligopeptide_76,4,-4.727852,0.2029645
UniRef90_P16809_oligopeptide_4,4,-4.727852,0.2029645
UniRef90_P52455_oligopeptide_11,4,-4.727852,0.2029645
UniRef90_Q1PDC4_oligopeptide_76,4,-4.727852,0.2029645
UniRef90_Q91E96_oligopeptide_3,4,-4.727852,0.2029645
UniRef90_Q9QAX1_oligopeptide_92,4,-4.727852,0.2029645
UniRef90_P03120_oligopeptide_12,6,-4.667646,0.2017508
UniRef90_P09258_oligopeptide_12,8,-4.667646,0.1809652
UniRef90_Q6UY61_oligopeptide_52,8,-4.667646,0.1809652
UniRef90_P03315_oligopeptide_35,9,-4.58014,0.2286265
UniRef90_Q6WB98_oligopeptide_4,14,-4.650037,0.200962
UniRef90_Q04538_oligopeptide_68,3,-4.619934,0.1907391
UniRef90_P0C6U7_oligopeptide_70,8,-4.627852,0.2435248
UniRef90_O37061_oligopeptide_12,9,-4.542119,0.2898486
UniRef90_P32537_oligopeptide_8,4,-4.697749,0.1947757
UniRef90_P50821_oligopeptide_17,6,-4.619934,0.1844945
UniRef90_Q6I7B9_oligopeptide_7,10,-4.637543,0.2346823
UniRef90_Q5WPU5_oligopeptide_114,11,-4.727852,0.2029645
UniRef90_P36798_oligopeptide_7,5,-4.697749,0.2091122
UniRef90_O89940_oligopeptide_5,2,-4.68014,0.2107937
UniRef90_P29165_oligopeptide_38,8,-4.697749,0.2008433
UniRef90_P24935_oligopeptide_1,5,-4.697749,0.2106478
UniRef90_Q9QBY4_oligopeptide_2,5,-4.321707,0.2788921
UniRef90_Q997F0_oligopeptide_23,7,-4.60744,0.1933238
UniRef90_P03520_oligopeptide_2,7,-4.727852,0.2029645
UniRef90_P24994_oligopeptide_20,7,-4.727852,0.2029645
UniRef90_P27552_oligopeptide_9,7,-4.727852,0.2029645
UniRef90_P36820_oligopeptide_1,7,-4.727852,0.2029645
UniRef90_P89946_oligopeptide_5,7,-4.727852,0.2029645
UniRef90_Q01222_oligopeptide_4,7,-4.727852,0.2029645
UniRef90_Q77DJ5_oligopeptide_3,7,-4.727852,0.2029645
UniRef90_Q86108_oligopeptide_6,7,-4.727852,0.2029645
UniRef90_Q9WC69_oligopeptide_7,6,-4.619934,0.2634681
UniRef90_Q67726_oligopeptide_33,1,-4.637543,0.2265174
UniRef90_P36711_oligopeptide_4,12,-4.60744,0.2093061
UniRef90_P03276_oligopeptide_15,3,-4.727852,0.2029645
UniRef90_P09284_oligopeptide_14,3,-4.727852,0.2029645
UniRef90_P17755_oligopeptide_15,3,-4.727852,0.2029645
UniRef90_P36782_oligopeptide_13,3,-4.727852,0.2029645
UniRef90_Q89868_oligopeptide_1,3,-4.727852,0.2029645
UniRef90_Q3KSQ2_oligopeptide_14,11,-4.42451,0.1120904
UniRef90_P89471_oligopeptide_2,5,-4.559728,0.2293956
UniRef90_Q03053_oligopeptide_22,7,-4.667646,0.1787444
UniRef90_P0C6U6_oligopeptide_93,12,-4.464304,0.2126029
UniRef90_P13144_oligopeptide_3,3,-4.637543,0.2114537
UniRef90_P11227_oligopeptide_33,12,-4.667646,0.1977415
UniRef90_P29324_oligopeptide_41,2,-4.667646,0.2569847
UniRef90_Q9DHU2_oligopeptide_6,12,-4.308674,0.1903038
UniRef90_P19715_oligopeptide_2,8,-4.697749,0.2106478
UniRef90_P14403_oligopeptide_7,4,-4.637543,0.2250497
UniRef90_P03200_oligopeptide_32,4,-4.697749,0.2091122
UniRef90_P36751_oligopeptide_14,4,-4.697749,0.2091122
UniRef90_Q4QXJ7_oligopeptide_21,4,-4.697749,0.2091122
UniRef90_P04875_oligopeptide_23,7,-4.619934,0.2493392
UniRef90_Q32ZD5_oligopeptide_115,3,-4.697749,0.1947757
UniRef90_P03517_oligopeptide_2,12,-4.404098,0.2409108
UniRef90_P27552_oligopeptide_11,10,-4.727852,0.2029645
UniRef90_P26015_oligopeptide_8,7,-4.697749,0.2008433
UniRef90_P0C214_oligopeptide_6,10,-4.432428,0.1513507
UniRef90_P18047_oligopeptide_4,4,-4.52451,0.2461004
UniRef90_F5HB81_oligopeptide_7,7,-4.559728,0.182616
UniRef90_P16736_oligopeptide_1,6,-4.68014,0.2315417
UniRef90_C5H431_oligopeptide_4,14,-4.589831,0.2340174
UniRef90_P27556_oligopeptide_4,3,-4.697749,0.1988447
UniRef90_P36711_oligopeptide_13,7,-4.667646,0.1872625
UniRef90_P35942_oligopeptide_16,5,-4.650037,0.2044259
UniRef90_A4GZ97_oligopeptide_16,6,-4.727852,0.2029645
UniRef90_O57203_oligopeptide_5,6,-4.727852,0.2029645
UniRef90_P13888_oligopeptide_2,6,-4.727852,0.2029645
UniRef90_P16721_oligopeptide_6,6,-4.727852,0.2029645
UniRef90_P23074_oligopeptide_35,6,-4.727852,0.2029645
UniRef90_P36725_oligopeptide_4,6,-4.727852,0.2029645
UniRef90_P36790_oligopeptide_7,6,-4.727852,0.2029645
UniRef90_Q4TWH7_oligopeptide_7,6,-4.727852,0.2029645
UniRef90_Q66431_oligopeptide_18,6,-4.727852,0.2029645
UniRef90_Q69535_oligopeptide_29,6,-4.727852,0.2029645
UniRef90_Q6TQR6_oligopeptide_121,6,-4.727852,0.2029645
UniRef90_Q6TQR6_oligopeptide_44,6,-4.727852,0.2029645
UniRef90_Q8BDV6_oligopeptide_6,6,-4.727852,0.2029645
UniRef90_Q9QBZ8_oligopeptide_15,6,-4.727852,0.2029645
UniRef90_P24105_oligopeptide_23,12,-4.472222,0.1936769
UniRef90_P52376_oligopeptide_16,3,-4.637543,0.1698638
UniRef90_B2C4J3_oligopeptide_17,12,-4.421707,0.2300558
UniRef90_P04581_oligopeptide_6,6,-4.697749,0.1887292
UniRef90_Q9QSR3_oligopeptide_38,7,-4.481913,0.187703
UniRef90_P0C6U7_oligopeptide_143,6,-4.667646,0.1742065
UniRef90_Q9INI3_oligopeptide_3,10,-4.391604,0.170329
UniRef90_P03362_oligopeptide_44,10,-4.667646,0.1787444
UniRef90_P03452_oligopeptide_7,9,-4.597749,0.2303837
UniRef90_B2C4J3_oligopeptide_34,2,-4.727852,0.2029645
UniRef90_F5HA27_oligopeptide_5,2,-4.727852,0.2029645
UniRef90_F5HAW0_oligopeptide_1,2,-4.727852,0.2029645
UniRef90_O73556_oligopeptide_45,2,-4.727852,0.2029645
UniRef90_O73579_oligopeptide_17,2,-4.727852,0.2029645
UniRef90_O89291_oligopeptide_13,2,-4.727852,0.2029645
UniRef90_P03215_oligopeptide_13,2,-4.727852,0.2029645
UniRef90_P03314_oligopeptide_113,2,-4.727852,0.2029645
UniRef90_P07210_oligopeptide_45,2,-4.727852,0.2029645
UniRef90_P09732_oligopeptide_60,2,-4.727852,0.2029645
UniRef90_P0C214_oligopeptide_5,2,-4.727852,0.2029645
UniRef90_P0C6X7_oligopeptide_142,2,-4.727852,0.2029645
UniRef90_P33810_oligopeptide_18,2,-4.727852,0.2029645
UniRef90_Q8JSZ3_oligopeptide_4,2,-4.727852,0.2029645
UniRef90_P28857_oligopeptide_28,10,-4.512016,0.2345333
UniRef90_Q9QR71_oligopeptide_18,5,-4.650037,0.2092262
UniRef90_P06440_oligopeptide_22,8,-4.419395,0.127723
UniRef90_Q8QZ73_oligopeptide_59,4,-4.68014,0.2107937
UniRef90_P16729_oligopeptide_40,3,-4.650037,0.2331471
UniRef90_C8XPA8_oligopeptide_34,2,-4.697749,0.1887292
UniRef90_P10212_oligopeptide_13,9,-4.619934,0.3157926
UniRef90_P0DJX2_oligopeptide_2,5,-4.547234,0.1571411
UniRef90_Q9YID8_oligopeptide_40,7,-4.409213,0.2721566
UniRef90_P36714_oligopeptide_11,2,-4.667646,0.1742065
UniRef90_Q9QBZ0_oligopeptide_9,6,-4.475218,0.2479279
UniRef90_P16289_oligopeptide_2,1,-4.650037,0.2083065
UniRef90_P12441_oligopeptide_12,6,-4.697749,0.1947757
UniRef90_P03186_oligopeptide_84,12,-4.52451,0.1878143
UniRef90_Q9IGQ6_oligopeptide_6,3,-4.577337,0.1988346
UniRef90_P0C6X1_oligopeptide_212,9,-4.567646,0.2206149
UniRef90_Q4QXJ7_oligopeptide_14,6,-4.589831,0.1958341
UniRef90_P06425_oligopeptide_3,6,-4.650037,0.2736419
UniRef90_Q6SWB9_oligopeptide_5,10,-4.697749,0.2008433
UniRef90_Q6IUF8_oligopeptide_65,2,-4.619934,0.2091029
UniRef90_Q02004_oligopeptide_42,13,-4.589831,0.2759201
UniRef90_Q66799_oligopeptide_15,3,-4.697749,0.2106478
UniRef90_Q8B9Q8_oligopeptide_2,3,-4.697749,0.2106478
UniRef90_Q6IUF8_oligopeptide_13,24,-4.397403,0.2338665
UniRef90_Q9QJ12_oligopeptide_18,3,-4.650037,0.1852294
UniRef90_P16744_oligopeptide_4,14,-4.68014,0.2969068
UniRef90_P03105_oligopeptide_16,3,-4.68014,0.2018878
UniRef90_P36328_oligopeptide_83,6,-4.697749,0.1988447
UniRef90_Q80902_oligopeptide_14,2,-4.60744,0.2045123
UniRef90_Q9QB92_oligopeptide_5,4,-4.389831,0.2965902
UniRef90_A7XCE4_oligopeptide_8,11,-4.637543,0.1878527
UniRef90_C5H431_oligopeptide_56,9,-4.727852,0.2029645
UniRef90_O57173_oligopeptide_3,9,-4.727852,0.2029645
UniRef90_O92531_oligopeptide_84,9,-4.727852,0.2029645
UniRef90_P03213_oligopeptide_13,9,-4.727852,0.2029645
UniRef90_P04577_oligopeptide_3,9,-4.727852,0.2029645
UniRef90_P06422_oligopeptide_6,9,-4.727852,0.2029645
UniRef90_P06725_oligopeptide_17,9,-4.727852,0.2029645
UniRef90_P10220_oligopeptide_80,9,-4.727852,0.2029645
UniRef90_P11235_oligopeptide_12,9,-4.727852,0.2029645
UniRef90_P27400_oligopeptide_17,9,-4.727852,0.2029645
UniRef90_P31352_oligopeptide_37,9,-4.727852,0.2029645
UniRef90_P36794_oligopeptide_13,9,-4.727852,0.2029645
UniRef90_Q6IUF8_oligopeptide_7,9,-4.727852,0.2029645
UniRef90_Q6YMS4_oligopeptide_26,9,-4.727852,0.2029645
UniRef90_Q8JPR2_oligopeptide_32,6,-4.697749,0.2008433
UniRef90_Q9YJJ8_oligopeptide_7,10,-4.602325,0.2110738
UniRef90_P52352_oligopeptide_9,7,-4.45181,0.2215409
UniRef90_P18802_oligopeptide_33,9,-4.697749,0.1887292
UniRef90_P17240_oligopeptide_16,4,-4.58014,0.2196946
UniRef90_Q69140_oligopeptide_10,7,-4.60744,0.2252939
UniRef90_P52519_oligopeptide_26,2,-4.697749,0.1988447
UniRef90_P36754_oligopeptide_16,8,-4.572222,0.2613055
UniRef90_P52540_oligopeptide_27,3,-4.650037,0.2461127
UniRef90_P16793_oligopeptide_1,4,-4.494407,0.2529428
UniRef90_Q86195_oligopeptide_5,9,-4.619934,0.2091029
UniRef90_A7XCE8_oligopeptide_4,5,-4.727852,0.2029645
UniRef90_O12157_oligopeptide_13,5,-4.727852,0.2029645
UniRef90_P05877_oligopeptide_8,5,-4.727852,0.2029645
UniRef90_P15155_oligopeptide_10,5,-4.727852,0.2029645
UniRef90_P16379_oligopeptide_13,5,-4.727852,0.2029645
UniRef90_P35253_oligopeptide_17,5,-4.727852,0.2029645
UniRef90_P36848_oligopeptide_3,5,-4.727852,0.2029645
UniRef90_P36848_oligopeptide_9,5,-4.727852,0.2029645
UniRef90_P50823_oligopeptide_11,5,-4.727852,0.2029645
UniRef90_P87503_oligopeptide_22,5,-4.727852,0.2029645
UniRef90_Q45UF9_oligopeptide_8,5,-4.727852,0.2029645
UniRef90_Q66431_oligopeptide_119,5,-4.727852,0.2029645
UniRef90_Q66431_oligopeptide_24,5,-4.727852,0.2029645
UniRef90_Q80903_oligopeptide_9,5,-4.727852,0.2029645
UniRef90_Q997F0_oligopeptide_60,5,-4.727852,0.2029645
UniRef90_P19475_oligopeptide_3,2,-4.697749,0.2008433
UniRef90_P03317_oligopeptide_76,4,-4.589831,0.1757491
UniRef90_Q82041_oligopeptide_12,15,-4.321707,0.1906078
UniRef90_P11132_oligopeptide_16,8,-4.697749,0.2408012
