olgnname,count,mean.control.log.signal,control.sd.log.signal,sample
UniRef90_Q306W8_oligopeptide_47,4,-4.026606,0.06972901,2
UniRef90_P09256_oligopeptide_5,5,-4.030421,0.268259681,2
UniRef90_Q9QJ12_oligopeptide_25,5,-4.030421,0.268259681,2
UniRef90_P21699_oligopeptide_2,6,-3.839942,0.053063354,2
UniRef90_P18356_oligopeptide_2,7,-3.875136,0.245869132,2
UniRef90_P13887_oligopeptide_78,9,-3.904094,0.991880549,2
UniRef90_P04602_oligopeptide_6,4,-4.042963,0.096631744,2
UniRef90_P16849_oligopeptide_14,4,-4.042963,0.096631744,2
UniRef90_Q86108_oligopeptide_31,12,-3.794559,1.394059758,2
UniRef90_P36290_oligopeptide_15,9,-3.892152,0.831599697,2
UniRef90_P09261_oligopeptide_12,6,-4.050925,0.676405372,2
UniRef90_Q05318_oligopeptide_29,6,-4.050925,0.676405372,2
UniRef90_Q8JL69_oligopeptide_20,6,-4.050925,0.676405372,2
UniRef90_F5HIN0_oligopeptide_11,8,-3.855609,0.349945913,2
UniRef90_P03169_oligopeptide_1,5,-4.064082,0.363703714,2
UniRef90_Q79666_oligopeptide_33,6,-4.068244,0.831599697,2
UniRef90_P52442_oligopeptide_9,7,-3.96268,0.545011949,2
UniRef90_P08490_oligopeptide_2,5,-4.046926,0.312129667,2
UniRef90_P35767_oligopeptide_3,3,-4.073399,0.043334644,2
UniRef90_P0C6X7_oligopeptide_30,5,-3.999182,0.196465498,2
UniRef90_O12792_oligopeptide_4,3,-4.073399,0.043334644,2
UniRef90_P89475_oligopeptide_18,6,-4.050925,0.676405372,2
UniRef90_P36752_oligopeptide_12,6,-4.086282,1.1080571,2
UniRef90_Q05135_oligopeptide_16,8,-3.889374,0.472659033,2
UniRef90_Q9INI4_oligopeptide_20,3,-4.091657,0.018729435,2
UniRef90_P17370_oligopeptide_5,6,-4.050925,0.676405372,2
UniRef90_P27314_oligopeptide_66,15,-3.623452,0.504384061,2
UniRef90_Q84940_oligopeptide_16,5,-4.100574,0.504384061,2
UniRef90_P12576_oligopeptide_40,5,-4.030421,0.268259681,2
UniRef90_P12449_oligopeptide_8,4,-3.952954,0.037361864,2
UniRef90_P03300_oligopeptide_69,6,-3.839942,0.053063354,2
UniRef90_P06489_oligopeptide_22,3,-4.110717,0.007993457,2
UniRef90_Q04544_oligopeptide_12,3,-4.110717,0.007993457,2
UniRef90_Q9WN78_oligopeptide_21,6,-3.987828,0.373240552,2
UniRef90_A2T3R5_oligopeptide_20,5,-4.120037,0.608591706,2
UniRef90_O89292_oligopeptide_14,5,-4.120037,0.608591706,2
UniRef90_Q02048_oligopeptide_9,5,-4.120037,0.608591706,2
UniRef90_P04616_oligopeptide_2,8,-3.93891,0.7859405,2
UniRef90_Q88435_oligopeptide_14,2,-4.12585,0.192790856,2
UniRef90_Q69014_oligopeptide_37,2,-4.12585,0.192790856,2
UniRef90_Q914N3_oligopeptide_6,3,-4.130651,0.037279456,2
UniRef90_Q07847_oligopeptide_2,4,-4.115352,0.239212225,2
UniRef90_P06474_oligopeptide_7,4,-4.135505,0.289372643,2
UniRef90_P0DJV2_oligopeptide_5,4,-4.135505,0.289372643,2
UniRef90_Q02051_oligopeptide_17,4,-4.135505,0.289372643,2
UniRef90_Q80922_oligopeptide_14,4,-4.135505,0.289372643,2
UniRef90_P09256_oligopeptide_3,5,-4.140414,0.761114349,2
UniRef90_P0C6K4_oligopeptide_7,5,-4.140414,0.761114349,2
UniRef90_P33810_oligopeptide_7,5,-4.140414,0.761114349,2
UniRef90_Q80932_oligopeptide_16,5,-4.140414,0.761114349,2
UniRef90_O55777_oligopeptide_2,3,-4.151544,0.06972901,2
UniRef90_P52549_oligopeptide_11,5,-4.120037,0.608591706,2
UniRef90_Q9QF31_oligopeptide_21,4,-3.980934,0.001092041,2
UniRef90_P03303_oligopeptide_21,5,-4.140414,0.761114349,2
UniRef90_P05133_oligopeptide_5,3,-4.151544,0.06972901,2
UniRef90_Q66478_oligopeptide_31,3,-4.151544,0.06972901,2
UniRef90_P0C6X4_oligopeptide_160,4,-4.156639,0.349945913,2
UniRef90_P24443_oligopeptide_6,4,-4.156639,0.349945913,2
UniRef90_P0C760_oligopeptide_54,12,-3.733241,0.570017651,2
UniRef90_O89940_oligopeptide_37,3,-4.151544,0.06972901,2
UniRef90_P03120_oligopeptide_3,5,-4.161795,1.034218829,2
UniRef90_P03227_oligopeptide_27,5,-4.161795,1.034218829,2
UniRef90_P06440_oligopeptide_3,5,-4.161795,1.034218829,2
UniRef90_Q5EG65_oligopeptide_22,5,-4.120037,0.608591706,2
UniRef90_P16732_oligopeptide_12,2,-4.146509,0.16934449,2
UniRef90_Q01480_oligopeptide_4,4,-4.115352,0.239212225,2
UniRef90_P68694_oligopeptide_22,4,-4.135505,0.289372643,2
UniRef90_P08318_oligopeptide_29,8,-3.913436,0.593591364,2
UniRef90_P0C774_oligopeptide_9,5,-4.081945,0.42605126,2
UniRef90_Q67815_oligopeptide_27,3,-4.130651,0.037279456,2
UniRef90_P21698_oligopeptide_4,5,-4.046926,0.312129667,2
UniRef90_A2T3R5_oligopeptide_31,4,-4.178855,0.42605126,2
UniRef90_O12161_oligopeptide_3,4,-4.178855,0.42605126,2
UniRef90_P03303_oligopeptide_63,4,-4.178855,0.42605126,2
UniRef90_P06162_oligopeptide_12,4,-4.178855,0.42605126,2
UniRef90_P06463_oligopeptide_2,4,-4.178855,0.42605126,2
UniRef90_P0C6U2_oligopeptide_81,4,-4.178855,0.42605126,2
UniRef90_P54634_oligopeptide_27,3,-4.073399,0.043334644,2
UniRef90_P28857_oligopeptide_24,4,-4.115352,0.239212225,2
UniRef90_P59632_oligopeptide_7,2,-4.19103,0.117038924,2
UniRef90_P17240_oligopeptide_19,7,-4.006374,0.892000551,2
UniRef90_P23456_oligopeptide_73,3,-4.173494,0.106175816,2
UniRef90_P17887_oligopeptide_13,6,-4.034271,0.570017651,2
UniRef90_P11193_oligopeptide_27,3,-4.196613,0.147819609,2
UniRef90_P09732_oligopeptide_101,2,-4.19103,0.117038924,2
UniRef90_P52363_oligopeptide_16,2,-4.19103,0.117038924,2
UniRef90_Q82054_oligopeptide_10,2,-4.146509,0.16934449,2
UniRef90_P09245_oligopeptide_14,4,-4.178855,0.42605126,2
UniRef90_P14353_oligopeptide_8,2,-4.12585,0.192790856,2
UniRef90_Q77Q36_oligopeptide_1,3,-4.196613,0.147819609,2
UniRef90_Q66431_oligopeptide_48,3,-4.130651,0.037279456,2
UniRef90_P07210_oligopeptide_9,11,-3.792339,0.712365691,2
UniRef90_P36844_oligopeptide_6,4,-4.096092,0.196465498,2
UniRef90_P03300_oligopeptide_64,4,-4.202268,0.527452156,2
UniRef90_P03421_oligopeptide_3,4,-4.202268,0.527452156,2
UniRef90_P17382_oligopeptide_14,4,-4.202268,0.527452156,2
UniRef90_P36783_oligopeptide_12,4,-4.202268,0.527452156,2
UniRef90_P52529_oligopeptide_12,4,-4.202268,0.527452156,2
UniRef90_P68324_oligopeptide_2,4,-4.202268,0.527452156,2
UniRef90_P03296_oligopeptide_7,3,-4.007194,0.126336916,2
UniRef90_P10220_oligopeptide_13,5,-4.161795,1.034218829,2
UniRef90_Q8V294_oligopeptide_83,4,-4.077651,0.159235619,2
UniRef90_P52342_oligopeptide_6,2,-4.215128,0.08747136,2
UniRef90_P03316_oligopeptide_7,5,-4.161795,1.034218829,2
UniRef90_P03186_oligopeptide_75,4,-4.115352,0.239212225,2
UniRef90_P68713_oligopeptide_1,2,-4.215128,0.08747136,2
UniRef90_Q9INJ1_oligopeptide_31,2,-4.215128,0.08747136,2
UniRef90_P36795_oligopeptide_1,5,-4.120037,0.608591706,2
UniRef90_P30003_oligopeptide_20,4,-4.059961,0.126253364,2
UniRef90_P03459_oligopeptide_4,3,-4.221031,0.196465498,2
UniRef90_P16781_oligopeptide_3,3,-4.221031,0.196465498,2
UniRef90_P21100_oligopeptide_6,3,-4.221031,0.196465498,2
UniRef90_P27907_oligopeptide_10,3,-4.221031,0.196465498,2
UniRef90_P59595_oligopeptide_3,3,-4.221031,0.196465498,2
UniRef90_Q45UG0_oligopeptide_36,3,-4.221031,0.196465498,2
UniRef90_Q66849_oligopeptide_9,4,-4.202268,0.527452156,2
UniRef90_P22420_oligopeptide_7,4,-4.227016,0.676405372,2
UniRef90_Q2HRB3_oligopeptide_7,4,-4.227016,0.676405372,2
UniRef90_Q68801_oligopeptide_45,4,-4.227016,0.676405372,2
UniRef90_Q79666_oligopeptide_46,4,-4.227016,0.676405372,2
UniRef90_Q82081_oligopeptide_22,4,-4.227016,0.676405372,2
UniRef90_P36811_oligopeptide_4,4,-4.178855,0.42605126,2
UniRef90_P09866_oligopeptide_8,1,-4.162967,0.468590258,2
UniRef90_Q77PU6_oligopeptide_14,5,-4.100574,0.504384061,2
UniRef90_A0A024B7W1_oligopeptide_72,3,-4.173494,0.106175816,2
UniRef90_P27401_oligopeptide_30,3,-4.221031,0.196465498,2
UniRef90_Q9WN78_oligopeptide_64,3,-4.246905,0.254989651,2
UniRef90_Q80915_oligopeptide_21,5,-4.046926,0.312129667,2
UniRef90_P03540_oligopeptide_12,2,-4.215128,0.08747136,2
UniRef90_P52385_oligopeptide_6,3,-4.173494,0.106175816,2
UniRef90_P04495_oligopeptide_13,3,-4.073399,0.043334644,2
UniRef90_P25483_oligopeptide_4,13,-3.653166,0.376990888,2
UniRef90_P25483_oligopeptide_3,4,-4.156639,0.349945913,2
UniRef90_P06491_oligopeptide_37,3,-4.196613,0.147819609,2
UniRef90_Q86197_oligopeptide_6,4,-4.115352,0.239212225,2
UniRef90_O89344_oligopeptide_80,2,-4.240642,0.054952206,2
UniRef90_P03214_oligopeptide_10,3,-4.073399,0.043334644,2
UniRef90_Q9WFZ0_oligopeptide_16,3,-4.221031,0.196465498,2
UniRef90_Q1PDC7_oligopeptide_23,5,-4.046926,0.312129667,2
UniRef90_P30928_oligopeptide_2,5,-4.140414,0.761114349,2
UniRef90_P20562_oligopeptide_2,3,-4.196613,0.147819609,2
UniRef90_P12978_oligopeptide_17,4,-4.202268,0.527452156,2
UniRef90_P03071_oligopeptide_7,3,-4.246905,0.254989651,2
UniRef90_P03378_oligopeptide_12,3,-4.246905,0.254989651,2
UniRef90_P08617_oligopeptide_68,3,-4.246905,0.254989651,2
UniRef90_P09256_oligopeptide_4,3,-4.246905,0.254989651,2
UniRef90_P12441_oligopeptide_7,3,-4.246905,0.254989651,2
UniRef90_P36785_oligopeptide_5,3,-4.246905,0.254989651,2
UniRef90_Q68801_oligopeptide_101,3,-4.246905,0.254989651,2
UniRef90_Q9DUC4_oligopeptide_12,3,-4.246905,0.254989651,2
UniRef90_Q9QF31_oligopeptide_71,3,-4.246905,0.254989651,2
UniRef90_P03210_oligopeptide_2,4,-4.202268,0.527452156,2
UniRef90_P36716_oligopeptide_6,4,-4.156639,0.349945913,2
UniRef90_P33493_oligopeptide_6,3,-4.130651,0.037279456,2
UniRef90_P17240_oligopeptide_14,2,-4.240642,0.054952206,2
UniRef90_P03188_oligopeptide_10,4,-4.25326,0.944865767,2
UniRef90_P0C214_oligopeptide_3,4,-4.25326,0.944865767,2
UniRef90_P14240_oligopeptide_25,4,-4.25326,0.944865767,2
UniRef90_P18047_oligopeptide_18,4,-4.25326,0.944865767,2
UniRef90_P24838_oligopeptide_16,4,-4.25326,0.944865767,2
UniRef90_P11818_oligopeptide_19,5,-4.120037,0.608591706,2
UniRef90_P16379_oligopeptide_51,3,-4.130651,0.037279456,2
UniRef90_Q5QGZ2_oligopeptide_6,13,-3.666971,0.42605126,2
UniRef90_P16800_oligopeptide_12,4,-4.202268,0.527452156,2
UniRef90_Q86195_oligopeptide_18,5,-4.046926,0.312129667,2
UniRef90_P11198_oligopeptide_20,5,-4.140414,0.761114349,2
UniRef90_Q32ZD5_oligopeptide_118,3,-4.196613,0.147819609,2
UniRef90_P26313_oligopeptide_14,4,-4.178855,0.42605126,2
UniRef90_Q00701_oligopeptide_11,2,-4.240642,0.054952206,2
UniRef90_P08490_oligopeptide_7,3,-4.173494,0.106175816,2
UniRef90_P21738_oligopeptide_9,1,-4.261179,0.369320653,2
UniRef90_P22055_oligopeptide_35,1,-4.261179,0.369320653,2
UniRef90_P27395_oligopeptide_46,4,-4.115352,0.239212225,2
UniRef90_O92530_oligopeptide_91,4,-4.25326,0.944865767,2
UniRef90_Q45UF8_oligopeptide_29,4,-4.202268,0.527452156,2
UniRef90_P09260_oligopeptide_23,2,-4.267748,0.018729435,2
UniRef90_P24937_oligopeptide_3,2,-4.267748,0.018729435,2
UniRef90_P36328_oligopeptide_74,2,-4.267748,0.018729435,2
UniRef90_P52468_oligopeptide_18,2,-4.267748,0.018729435,2
UniRef90_Q04966_oligopeptide_5,2,-4.267748,0.018729435,2
UniRef90_Q6WB95_oligopeptide_6,2,-4.267748,0.018729435,2
UniRef90_Q80932_oligopeptide_18,2,-4.267748,0.018729435,2
UniRef90_Q9QB97_oligopeptide_8,2,-4.267748,0.018729435,2
UniRef90_Q02480_oligopeptide_9,1,-4.209303,0.422051768,2
UniRef90_P09613_oligopeptide_17,6,-3.920001,0.196465498,2
UniRef90_P35961_oligopeptide_15,2,-4.240642,0.054952206,2
UniRef90_Q86194_oligopeptide_6,3,-4.274418,0.328342942,2
UniRef90_P03303_oligopeptide_32,8,-3.913436,0.593591364,2
UniRef90_P21404_oligopeptide_76,3,-4.055878,0.066160905,2
UniRef90_P08668_oligopeptide_15,3,-4.274418,0.328342942,2
UniRef90_P09731_oligopeptide_4,3,-4.274418,0.328342942,2
UniRef90_P0C6K4_oligopeptide_30,3,-4.274418,0.328342942,2
UniRef90_P14336_oligopeptide_76,3,-4.274418,0.328342942,2
UniRef90_P16809_oligopeptide_4,3,-4.274418,0.328342942,2
UniRef90_P52455_oligopeptide_11,3,-4.274418,0.328342942,2
UniRef90_Q1PDC4_oligopeptide_76,3,-4.274418,0.328342942,2
UniRef90_Q91E96_oligopeptide_3,3,-4.274418,0.328342942,2
UniRef90_Q9QAX1_oligopeptide_92,3,-4.274418,0.328342942,2
UniRef90_P03120_oligopeptide_12,3,-4.221031,0.196465498,2
UniRef90_P09258_oligopeptide_12,2,-4.267748,0.018729435,2
UniRef90_Q6UY61_oligopeptide_52,2,-4.267748,0.018729435,2
UniRef90_P03315_oligopeptide_35,4,-4.077651,0.159235619,2
UniRef90_Q6WB98_oligopeptide_4,1,-4.209303,0.422051768,2
UniRef90_Q04538_oligopeptide_68,4,-4.202268,0.527452156,2
UniRef90_P0C6U7_oligopeptide_70,4,-4.096092,0.196465498,2
UniRef90_O37061_oligopeptide_12,7,-3.910518,0.340494161,2
UniRef90_P32537_oligopeptide_8,3,-4.274418,0.328342942,2
UniRef90_P50821_oligopeptide_17,3,-4.221031,0.196465498,2
UniRef90_Q6I7B9_oligopeptide_7,3,-4.130651,0.037279456,2
UniRef90_Q5WPU5_oligopeptide_114,1,-4.289643,0.340020613,2
UniRef90_P36798_oligopeptide_7,3,-4.246905,0.254989651,2
UniRef90_O89940_oligopeptide_5,4,-4.227016,0.676405372,2
UniRef90_P29165_oligopeptide_38,2,-4.267748,0.018729435,2
UniRef90_P24935_oligopeptide_1,3,-4.246905,0.254989651,2
UniRef90_Q9QBY4_oligopeptide_2,13,-3.727049,0.776184777,2
UniRef90_Q997F0_oligopeptide_23,3,-4.196613,0.147819609,2
UniRef90_P03520_oligopeptide_2,2,-4.296661,0.022282902,2
UniRef90_P24994_oligopeptide_20,2,-4.296661,0.022282902,2
UniRef90_P27552_oligopeptide_9,2,-4.296661,0.022282902,2
UniRef90_P36820_oligopeptide_1,2,-4.296661,0.022282902,2
UniRef90_P89946_oligopeptide_5,2,-4.296661,0.022282902,2
UniRef90_Q01222_oligopeptide_4,2,-4.296661,0.022282902,2
UniRef90_Q77DJ5_oligopeptide_3,2,-4.296661,0.022282902,2
UniRef90_Q86108_oligopeptide_6,2,-4.296661,0.022282902,2
UniRef90_Q9WC69_oligopeptide_7,5,-4.064082,0.363703714,2
UniRef90_Q67726_oligopeptide_33,5,-4.161795,1.034218829,2
UniRef90_P36711_oligopeptide_4,2,-4.168199,0.144196012,2
UniRef90_P03276_oligopeptide_15,3,-4.303794,0.42605126,2
UniRef90_P09284_oligopeptide_14,3,-4.303794,0.42605126,2
UniRef90_P17755_oligopeptide_15,3,-4.303794,0.42605126,2
UniRef90_P36782_oligopeptide_13,3,-4.303794,0.42605126,2
UniRef90_Q89868_oligopeptide_1,3,-4.303794,0.42605126,2
UniRef90_Q3KSQ2_oligopeptide_14,2,-4.19103,0.117038924,2
UniRef90_P89471_oligopeptide_2,5,-4.081945,0.42605126,2
UniRef90_Q03053_oligopeptide_22,2,-4.296661,0.022282902,2
UniRef90_P0C6U6_oligopeptide_93,4,-4.026606,0.06972901,2
UniRef90_P13144_oligopeptide_3,4,-4.202268,0.527452156,2
UniRef90_P11227_oligopeptide_33,1,-4.261179,0.369320653,2
UniRef90_P29324_oligopeptide_41,5,-4.140414,0.761114349,2
UniRef90_Q9DHU2_oligopeptide_6,6,-3.920001,0.196465498,2
UniRef90_P19715_oligopeptide_2,2,-4.267748,0.018729435,2
UniRef90_P14403_oligopeptide_7,4,-4.178855,0.42605126,2
UniRef90_P03200_oligopeptide_32,3,-4.274418,0.328342942,2
UniRef90_P36751_oligopeptide_14,3,-4.274418,0.328342942,2
UniRef90_Q4QXJ7_oligopeptide_21,3,-4.274418,0.328342942,2
UniRef90_P04875_oligopeptide_23,4,-4.115352,0.239212225,2
UniRef90_Q32ZD5_oligopeptide_115,3,-4.303794,0.42605126,2
UniRef90_P03517_oligopeptide_2,6,-3.920001,0.196465498,2
UniRef90_P27552_oligopeptide_11,1,-4.320104,0.308300757,2
UniRef90_P26015_oligopeptide_8,2,-4.296661,0.022282902,2
UniRef90_P0C214_oligopeptide_6,3,-4.130651,0.037279456,2
UniRef90_P18047_oligopeptide_4,6,-4.034271,0.570017651,2
UniRef90_F5HB81_oligopeptide_7,3,-4.196613,0.147819609,2
UniRef90_P16736_oligopeptide_1,3,-4.221031,0.196465498,2
UniRef90_C5H431_oligopeptide_4,2,-4.12585,0.192790856,2
UniRef90_P27556_oligopeptide_4,3,-4.303794,0.42605126,2
UniRef90_P36711_oligopeptide_13,2,-4.296661,0.022282902,2
UniRef90_P35942_oligopeptide_16,3,-4.246905,0.254989651,2
UniRef90_A4GZ97_oligopeptide_16,2,-4.327636,0.06972901,2
UniRef90_O57203_oligopeptide_5,2,-4.327636,0.06972901,2
UniRef90_P13888_oligopeptide_2,2,-4.327636,0.06972901,2
UniRef90_P16721_oligopeptide_6,2,-4.327636,0.06972901,2
UniRef90_P23074_oligopeptide_35,2,-4.327636,0.06972901,2
UniRef90_P36725_oligopeptide_4,2,-4.327636,0.06972901,2
UniRef90_P36790_oligopeptide_7,2,-4.327636,0.06972901,2
UniRef90_Q4TWH7_oligopeptide_7,2,-4.327636,0.06972901,2
UniRef90_Q66431_oligopeptide_18,2,-4.327636,0.06972901,2
UniRef90_Q69535_oligopeptide_29,2,-4.327636,0.06972901,2
UniRef90_Q6TQR6_oligopeptide_121,2,-4.327636,0.06972901,2
UniRef90_Q6TQR6_oligopeptide_44,2,-4.327636,0.06972901,2
UniRef90_Q8BDV6_oligopeptide_6,2,-4.327636,0.06972901,2
UniRef90_Q9QBZ8_oligopeptide_15,2,-4.327636,0.06972901,2
UniRef90_P24105_oligopeptide_23,3,-4.091657,0.018729435,2
UniRef90_P52376_oligopeptide_16,3,-4.303794,0.42605126,2
UniRef90_B2C4J3_oligopeptide_17,5,-3.970041,0.138999946,2
UniRef90_P04581_oligopeptide_6,2,-4.327636,0.06972901,2
UniRef90_Q9QSR3_oligopeptide_38,4,-4.115352,0.239212225,2
UniRef90_P0C6U7_oligopeptide_143,2,-4.327636,0.06972901,2
UniRef90_Q9INI3_oligopeptide_3,4,-4.059961,0.126253364,2
UniRef90_P03362_oligopeptide_44,1,-4.320104,0.308300757,2
UniRef90_P03452_oligopeptide_7,3,-4.151544,0.06972901,2
UniRef90_B2C4J3_oligopeptide_34,3,-4.335301,0.570017651,2
UniRef90_F5HA27_oligopeptide_5,3,-4.335301,0.570017651,2
UniRef90_F5HAW0_oligopeptide_1,3,-4.335301,0.570017651,2
UniRef90_O73556_oligopeptide_45,3,-4.335301,0.570017651,2
UniRef90_O73579_oligopeptide_17,3,-4.335301,0.570017651,2
UniRef90_O89291_oligopeptide_13,3,-4.335301,0.570017651,2
UniRef90_P03215_oligopeptide_13,3,-4.335301,0.570017651,2
UniRef90_P03314_oligopeptide_113,3,-4.335301,0.570017651,2
UniRef90_P07210_oligopeptide_45,3,-4.335301,0.570017651,2
UniRef90_P09732_oligopeptide_60,3,-4.335301,0.570017651,2
UniRef90_P0C214_oligopeptide_5,3,-4.335301,0.570017651,2
UniRef90_P0C6X7_oligopeptide_142,3,-4.335301,0.570017651,2
UniRef90_P33810_oligopeptide_18,3,-4.335301,0.570017651,2
UniRef90_Q8JSZ3_oligopeptide_4,3,-4.335301,0.570017651,2
UniRef90_P28857_oligopeptide_28,4,-4.059961,0.126253364,2
UniRef90_Q9QR71_oligopeptide_18,3,-4.246905,0.254989651,2
UniRef90_P06440_oligopeptide_22,3,-4.173494,0.106175816,2
UniRef90_Q8QZ73_oligopeptide_59,3,-4.274418,0.328342942,2
UniRef90_P16729_oligopeptide_40,4,-4.202268,0.527452156,2
UniRef90_C8XPA8_oligopeptide_34,3,-4.335301,0.570017651,2
UniRef90_P10212_oligopeptide_13,5,-4.014521,0.230142365,2
UniRef90_P0DJX2_oligopeptide_2,3,-4.246905,0.254989651,2
UniRef90_Q9YID8_oligopeptide_40,8,-3.889374,0.472659033,2
UniRef90_P36714_oligopeptide_11,3,-4.335301,0.570017651,2
UniRef90_Q9QBZ0_oligopeptide_9,6,-4.002764,0.42605126,2
UniRef90_P16289_oligopeptide_2,4,-4.25326,0.944865767,2
UniRef90_P12441_oligopeptide_12,2,-4.327636,0.06972901,2
UniRef90_P03186_oligopeptide_84,2,-4.168199,0.144196012,2
UniRef90_Q9IGQ6_oligopeptide_6,4,-4.202268,0.527452156,2
UniRef90_P0C6X1_oligopeptide_212,3,-4.151544,0.06972901,2
UniRef90_Q4QXJ7_oligopeptide_14,3,-4.221031,0.196465498,2
UniRef90_P06425_oligopeptide_3,4,-4.135505,0.289372643,2
UniRef90_Q6SWB9_oligopeptide_5,1,-4.320104,0.308300757,2
UniRef90_Q6IUF8_oligopeptide_65,4,-4.227016,0.676405372,2
UniRef90_Q02004_oligopeptide_42,3,-4.073399,0.043334644,2
UniRef90_Q66799_oligopeptide_15,3,-4.303794,0.42605126,2
UniRef90_Q8B9Q8_oligopeptide_2,3,-4.303794,0.42605126,2
UniRef90_Q6IUF8_oligopeptide_13,2,-3.960149,0.369320653,2
UniRef90_Q9QJ12_oligopeptide_18,3,-4.303794,0.42605126,2
UniRef90_P16744_oligopeptide_4,2,-4.12585,0.192790856,2
UniRef90_P03105_oligopeptide_16,3,-4.303794,0.42605126,2
UniRef90_P36328_oligopeptide_83,2,-4.327636,0.06972901,2
UniRef90_Q80902_oligopeptide_14,4,-4.227016,0.676405372,2
UniRef90_Q9QB92_oligopeptide_5,10,-3.839384,0.761114349,2
UniRef90_A7XCE4_oligopeptide_8,1,-4.289643,0.340020613,2
UniRef90_C5H431_oligopeptide_56,1,-4.352863,0.2736758,2
UniRef90_O57173_oligopeptide_3,1,-4.352863,0.2736758,2
UniRef90_O92531_oligopeptide_84,1,-4.352863,0.2736758,2
UniRef90_P03213_oligopeptide_13,1,-4.352863,0.2736758,2
UniRef90_P04577_oligopeptide_3,1,-4.352863,0.2736758,2
UniRef90_P06422_oligopeptide_6,1,-4.352863,0.2736758,2
UniRef90_P06725_oligopeptide_17,1,-4.352863,0.2736758,2
UniRef90_P10220_oligopeptide_80,1,-4.352863,0.2736758,2
UniRef90_P11235_oligopeptide_12,1,-4.352863,0.2736758,2
UniRef90_P27400_oligopeptide_17,1,-4.352863,0.2736758,2
UniRef90_P31352_oligopeptide_37,1,-4.352863,0.2736758,2
UniRef90_P36794_oligopeptide_13,1,-4.352863,0.2736758,2
UniRef90_Q6IUF8_oligopeptide_7,1,-4.352863,0.2736758,2
UniRef90_Q6YMS4_oligopeptide_26,1,-4.352863,0.2736758,2
UniRef90_Q8JPR2_oligopeptide_32,2,-4.327636,0.06972901,2
UniRef90_Q9YJJ8_oligopeptide_7,2,-4.215128,0.08747136,2
UniRef90_P52352_oligopeptide_9,5,-4.046926,0.312129667,2
UniRef90_P18802_oligopeptide_33,1,-4.352863,0.2736758,2
UniRef90_P17240_oligopeptide_16,4,-4.178855,0.42605126,2
UniRef90_Q69140_oligopeptide_10,3,-4.196613,0.147819609,2
